target_type,ticker,isin,company_id,sector,industry,country,source_url,last_reviewed
ticker,11Cd_EQ,,,,,,,
ticker,1ASTd_EQ,,,,,,,
ticker,1COVd_EQ,,,,,,,
ticker,1D6d_EQ,,,,,,,
ticker,1G2d_EQ,,,,,,,
ticker,1IGd_EQ,,,,,,,
ticker,1NCd_EQ,,,,,,,
ticker,1Q5d_EQ,,,,,,,
ticker,1XNAd_EQ,,,,,,,
ticker,22Zd_EQ,,,,,,,
ticker,26CAd_EQ,,,,,,,
ticker,2B4d_EQ,,,,,,,
ticker,2CKd_EQ,,,,,,,
ticker,2DGd_EQ,,,,,,,
ticker,2LBd_EQ,,,,,,,
ticker,2RRd_EQ,,,,,,,
ticker,2VOd_EQ,,,,,,,
ticker,2ZPd_EQ,,,,,,,
ticker,32Ad_EQ,,,,,,,
ticker,39EAd_EQ,,,,,,,
ticker,3AG1d_EQ,,,,,,,
ticker,3BXd_EQ,,,,,,,
ticker,3CPd_EQ,,,,,,,
ticker,47Vd_EQ,,,,,,,
ticker,49Zd_EQ,,,,,,,
ticker,4BYd_EQ,,,,,,,
ticker,4GBLl_EQ,,,,,,,
ticker,4GEd_EQ,,,,,,,
ticker,526d_EQ,,,,,,,
ticker,58Hd_EQ,,,,,,,
ticker,6BFd_EQ,,,,,,,
ticker,6PUd_EQ,,,,,,,
ticker,6Q81d_EQ,,,,,,,
ticker,71Yd_EQ,,,,,,,
ticker,788d_EQ,,,,,,,
ticker,7A2d_EQ,,,,,,,
ticker,7CDd_EQ,,,,,,,
ticker,7PVd_EQ,,,,,,,
ticker,7VSd_EQ,,,,,,,
ticker,7XUd_EQ,,,,,,,
ticker,82Wd_EQ,,,,,,,
ticker,8BZd_EQ,,,,,,,
ticker,8CFd_EQ,,,,,,,
ticker,8FRd_EQ,,,,,,,
ticker,8JO1d_EQ,,,,,,,
ticker,8XPd_EQ,,,,,,,
ticker,99Ud_EQ,,,,,,,
ticker,9A2d_EQ,,,,,,,
ticker,9MDd_EQ,,,,,,,
ticker,9SHd_EQ,,,,,,,
ticker,9UVd_EQ,,,,,,,
ticker,A6Id_EQ,,,,,,,
ticker,A6Nd_EQ,,,,,,,
ticker,AAAl_EQ,,,,,,,
ticker,AACG_US_EQ,,,,,,,
ticker,AACI_US_EQ,,,,,,,
ticker,AACQ_US_EQ,,,,,,,
ticker,AACT_US_EQ,,,,,,,
ticker,AAMC_US_EQ,,,,,,,
ticker,AAME_US_EQ,,,,,,,
ticker,AAN_US_EQ,,,,,,,
ticker,AAXN_US_EQ,,,,,,,
ticker,AB9d_EQ,,,,,,,
ticker,ABB_US_EQ,,,,,,,
ticker,ABC_US_EQ,,,,,,,
ticker,ABEPF_US_EQ,,,,,,,
ticker,ABEV_US_EQ,,,,,,,
ticker,ABIO_US_EQ,,,,,,,
ticker,ABL_US_EQ,,,,,,,
ticker,ABML_US_EQ,,,,,,,
ticker,ABO_BB_EQ,,,,,,,
ticker,ABQQ_US_EQ,,,,,,,
ticker,ABUS_US_EQ,,,,,,,
ticker,ACAB_US_EQ,,,,,,,
ticker,ACAC_US_EQ,,,,,,,
ticker,ACAN_US_EQ,,,,,,,
ticker,ACCB_BB_EQ,,,,,,,
ticker,ACCYY_US_EQ,,,,,,,
ticker,ACET_US_EQ,,,,,,,
ticker,ACEV_US_EQ,,,,,,,
ticker,ACFN_US_EQ,,,,,,,
ticker,ACHC_US_EQ,,,,,,,
ticker,ACHL_US_EQ,,,,,,,
ticker,ACIC_US_EQ,,,,,,,
ticker,ACLLY_US_EQ,,,,,,,
ticker,ACLX_US_EQ,,,,,,,
ticker,ACND_US_EQ,,,,,,,
ticker,ACOX_CA_EQ,,,,,,,
ticker,ACRX_US_EQ,,,,,,,
ticker,ACR_US_EQ,,,,,,,
ticker,ACSAY_US_EQ,,,,,,,
ticker,ACST_US_EQ,,,,,,,
ticker,ACTD_US_EQ,,,,,,,
ticker,ACTG_US_EQ,,,,,,,
ticker,ACTHF_US_EQ,,,,,,,
ticker,ACUT_US_EQ,,,,,,,
ticker,ACY_US_EQ,,,,,,,
ticker,AC_US_EQ,,,,,,,
ticker,AD2d_EQ,,,,,,,
ticker,ADAL_US_EQ,,,,,,,
ticker,ADAP_US_EQ,,,,,,,
ticker,ADAl_EQ,,,,,,,
ticker,ADC_US_EQ,,,,,,,
ticker,ADER_US_EQ,,,,,,,
ticker,ADES_US_EQ,,,,,,,
ticker,ADF_US_EQ,,,,,,,
ticker,ADGI_US_EQ,,,,,,,
ticker,ADIGl_EQ,,,,,,,
ticker,ADIL_US_EQ,,,,,,,
ticker,ADMP_US_EQ,,,,,,,
ticker,ADOC_US_EQ,,,,,,,
ticker,ADOM_US_EQ,,,,,,,
ticker,ADRA_US_EQ,,,,,,,
ticker,ADRNY_US_EQ,,,,,,,
ticker,ADS_US_EQ,,,,,,,
ticker,ADTI_US_EQ,,,,,,,
ticker,ADUS_US_EQ,,,,,,,
ticker,ADVd_EQ,,,,,,,
ticker,ADWA_CA_EQ,,,,,,,
ticker,AEE_US_EQ,,,,,,,
ticker,AEG_US_EQ,,,,,,,
ticker,AEHA_US_EQ,,,,,,,
ticker,AERC_US_EQ,,,,,,,
ticker,AERO1_US_EQ,,,,,,,
ticker,AESE_US_EQ,,,,,,,
ticker,AEXAY_US_EQ,,,,,,,
ticker,AEY_US_EQ,,,,,,,
ticker,AEZS_US_EQ,,,,,,,
ticker,AFAC_US_EQ,,,,,,,
ticker,AFAR_US_EQ,,,,,,,
ticker,AFCG_US_EQ,,,,,,,
ticker,AFI_US_EQ,,,,,,,
ticker,AFJKU_US_EQ,,,,,,,
ticker,AFL_US_EQ,,,,,,,
ticker,AFLd_EQ,,,,,,,
ticker,AFMD_US_EQ,,,,,,,
ticker,AFTd_EQ,,,,,,,
ticker,AGBA_US_EQ,,,,,,,
ticker,AGCC_US_EQ,,,,,,,
ticker,AGC_US_EQ,,,,,,,
ticker,AGEN_US_EQ,,,,,,,
ticker,AGESY_US_EQ,,,,,,,
ticker,AGE_US_EQ,,,,,,,
ticker,AGFB_CA_EQ,,,,,,,
ticker,AGFXl_EQ,,,,,,,
ticker,AGFY_US_EQ,,,,,,,
ticker,AGLE_US_EQ,,,,,,,
ticker,AGM/A_US_EQ,,,,,,,
ticker,AGMB_US_EQ,,,,,,,
ticker,AGM_US_EQ,,,,,,,
ticker,AGOL_US_EQ,,,,,,,
ticker,AGRI_US_EQ,,,,,,,
ticker,AGROl_EQ,,,,,,,
ticker,AGRPY_US_EQ,,,,,,,
ticker,AGTd_EQ,,,,,,,
ticker,AH91d_EQ,,,,,,,
ticker,AHAC_US_EQ,,,,,,,
ticker,AHEXY_US_EQ,,,,,,,
