target_type,ticker,isin,security_id,company_id,override_security_id,override_company_id,category,flags,confidence,reason,source_url,last_reviewed
ticker,00XJ1d_EQ,,,,,,,,,,,
ticker,00XK1d_EQ,,,,,,,,,,,
ticker,00XQd_EQ,,,,,,,,,,,
ticker,013Cd_EQ,,,,,,,,,,,
ticker,02Gd_EQ,,,,,,,,,,,
ticker,02Md_EQ,,,,,,,,,,,
ticker,04Qd_EQ,,,,,,,,,,,
ticker,096d_EQ,,,,,,,,,,,
ticker,0EFd_EQ,,,,,,,,,,,
ticker,0GSd_EQ,,,,,,,,,,,
ticker,0MEd_EQ,,,,,,,,,,,
ticker,0NUd_EQ,,,,,,,,,,,
ticker,0OKd_EQ,,,,,,,,,,,
ticker,0PYd_EQ,,,,,,,,,,,
ticker,0Q0d_EQ,,,,,,,,,,,
ticker,0Q2d_EQ,,,,,,,,,,,
ticker,0Q3d_EQ,,,,,,,,,,,
ticker,0QFd_EQ,,,,,,,,,,,
ticker,0QNd_EQ,,,,,,,,,,,
ticker,0TLd_EQ,,,,,,,,,,,
ticker,0UBd_EQ,,,,,,,,,,,
ticker,0V6d_EQ,,,,,,,,,,,
ticker,0YUd_EQ,,,,,,,,,,,
ticker,0ZCd_EQ,,,,,,,,,,,
ticker,0ZGd_EQ,,,,,,,,,,,
ticker,100EUAd_EQ,,,,,,,,,,,
ticker,100Hp_EQ,,,,,,,,,,,
ticker,10AId_EQ,,,,,,,,,,,
ticker,10AJd_EQ,,,,,,,,,,,
ticker,10AKd_EQ,,,,,,,,,,,
ticker,10ALd_EQ,,,,,,,,,,,
ticker,10AMd_EQ,,,,,,,,,,,
ticker,11Cd_EQ,,,,,,,,,,,
ticker,11Ld_EQ,,,,,,,,,,,
ticker,123Fd_EQ,,,,,,,,,,,
ticker,12DAd_EQ,,,,,,,,,,,
ticker,12Fd_EQ,,,,,,,,,,,
ticker,13Md_EQ,,,,,,,,,,,
ticker,13Xd_EQ,,,,,,,,,,,
ticker,14Dd_EQ,,,,,,,,,,,
ticker,185d_EQ,,,,,,,,,,,
ticker,18MKd_EQ,,,,,,,,,,,
ticker,18MMd_EQ,,,,,,,,,,,
ticker,18MNd_EQ,,,,,,,,,,,
ticker,19Hd_EQ,,,,,,,,,,,
ticker,19Xd_EQ,,,,,,,,,,,
ticker,1ALd_EQ,,,,,,,,,,,
ticker,1AMZl_EQ,,,,,,,,,,,
ticker,1ARGl_EQ,,,,,,,,,,,
ticker,1ARKl_EQ,,,,,,,,,,,
ticker,1ARWl_EQ,,,,,,,,,,,
ticker,1ASTd_EQ,,,,,,,,,,,
ticker,1BRNl_EQ,,,,,,,,,,,
ticker,1COIl_EQ,,,,,,,,,,,
ticker,1COVd_EQ,,,,,,,,,,,
ticker,1D6d_EQ,,,,,,,,,,,
ticker,1G2d_EQ,,,,,,,,,,,
ticker,1GISl_EQ,,,,,,,,,,,
ticker,1GOOl_EQ,,,,,,,,,,,
ticker,1IGd_EQ,,,,,,,,,,,
ticker,1INNd_EQ,,,,,,,,,,,
ticker,1KTd_EQ,,,,,,,,,,,
ticker,1LRCd_EQ,,,,,,,,,,,
ticker,1MCSl_EQ,,,,,,,,,,,
ticker,1MSFl_EQ,,,,,,,,,,,
ticker,1NCd_EQ,,,,,,,,,,,
ticker,1NGLl_EQ,,,,,,,,,,,
ticker,1OISl_EQ,,,,,,,,,,,
ticker,1PASl_EQ,,,,,,,,,,,
ticker,1Q5d_EQ,,,,,,,,,,,
ticker,1QZd_EQ,,,,,,,,,,,
ticker,1SId_EQ,,,,,,,,,,,
ticker,1SNl_EQ,,,,,,,,,,,
ticker,1SXP1d_EQ,,,,,,,,,,,
ticker,1TSLl_EQ,,,,,,,,,,,
ticker,1WFd_EQ,,,,,,,,,,,
ticker,1XNAd_EQ,,,,,,,,,,,
ticker,1YDd_EQ,,,,,,,,,,,
ticker,1ZBd_EQ,,,,,,,,,,,
ticker,21STd_EQ,,,,,,,,,,,
ticker,22UAd_EQ,,,,,,,,,,,
ticker,22Zd_EQ,,,,,,,,,,,
ticker,26CAd_EQ,,,,,,,,,,,
ticker,27ITp_EQ,,,,,,,,,,,
ticker,27Jd_EQ,,,,,,,,,,,
ticker,28IUa_EQ,,,,,,,,,,,
ticker,28IXd_EQ,,,,,,,,,,,
ticker,29GId_EQ,,,,,,,,,,,
ticker,29IDp_EQ,,,,,,,,,,,
ticker,29ITp_EQ,,,,,,,,,,,
ticker,2AAPl_EQ,,,,,,,,,,,
ticker,2AMDl_EQ,,,,,,,,,,,
ticker,2AMEl_EQ,,,,,,,,,,,
ticker,2AMZl_EQ,,,,,,,,,,,
ticker,2B4d_EQ,,,,,,,,,,,
ticker,2B70d_EQ,,,,,,,,,,,
ticker,2B76d_EQ,,,,,,,,,,,
ticker,2B7Ad_EQ,,,,,,,,,,,
ticker,2B7Bd_EQ,,,,,,,,,,,
ticker,2B7Cd_EQ,,,,,,,,,,,
ticker,2B7Dd_EQ,,,,,,,,,,,
ticker,2B7Fd_EQ,,,,,,,,,,,
ticker,2B7J1d_EQ,,,,,,,,,,,
ticker,2B7Kd_EQ,,,,,,,,,,,
ticker,2BABl_EQ,,,,,,,,,,,
ticker,2BAEl_EQ,,,,,,,,,,,
ticker,2BREl_EQ,,,,,,,,,,,
ticker,2BRKl_EQ,,,,,,,,,,,
ticker,2BRTl_EQ,,,,,,,,,,,
ticker,2BULl_EQ,,,,,,,,,,,
ticker,2CARl_EQ,,,,,,,,,,,
ticker,2CARm_EQ,,,,,,,,,,,
ticker,2CKd_EQ,,,,,,,,,,,
ticker,2CLd_EQ,,,,,,,,,,,
ticker,2CPd_EQ,,,,,,,,,,,
ticker,2DGd_EQ,,,,,,,,,,,
ticker,2FBl_EQ,,,,,,,,,,,
ticker,2FEd_EQ,,,,,,,,,,,
ticker,2GBd_EQ,,,,,,,,,,,
ticker,2GOOl_EQ,,,,,,,,,,,
ticker,2GSl_EQ,,,,,,,,,,,
ticker,2HPd_EQ,,,,,,,,,,,
ticker,2HQd_EQ,,,,,,,,,,,
ticker,2HRAd_EQ,,,,,,,,,,,
ticker,2KDd_EQ,,,,,,,,,,,
ticker,2LBd_EQ,,,,,,,,,,,
ticker,2M6d_EQ,,,,,,,,,,,
ticker,2MCLl_EQ,,,,,,,,,,,
ticker,2MSFl_EQ,,,,,,,,,,,
ticker,2MUEl_EQ,,,,,,,,,,,
ticker,2MUl_EQ,,,,,,,,,,,
ticker,2MXp_EQ,,,,,,,,,,,
ticker,2NFLl_EQ,,,,,,,,,,,
ticker,2NGAl_EQ,,,,,,,,,,,
ticker,2NVDl_EQ,,,,,,,,,,,
ticker,2OIEl_EQ,,,,,,,,,,,
ticker,2OIGl_EQ,,,,,,,,,,,
ticker,2OIGm_EQ,,,,,,,,,,,
ticker,2OILl_EQ,,,,,,,,,,,
ticker,2OYd_EQ,,,,,,,,,,,
ticker,2PALl_EQ,,,,,,,,,,,
ticker,2PPd_EQ,,,,,,,,,,,
ticker,2QKd_EQ,,,,,,,,,,,
ticker,2QOd_EQ,,,,,,,,,,,
