ticker,company_id,name,isin,reason,reason_codes
11Cd_EQ,11_bit_studios,11 bit studios,PL11BTS00015,missing sector; missing industry,missing_sector;missing_industry
1ASTd_EQ,asta_energy_solutions,ASTA Energy Solutions,AT100ASTA001,missing sector; missing industry,missing_sector;missing_industry
1COVd_EQ,covestro,Covestro,DE0006062144,missing sector; missing industry,missing_sector;missing_industry
1D6d_EQ,blue_owl_capital,Blue Owl Capital,US69121K1043,missing sector; missing industry,missing_sector;missing_industry
1G2d_EQ,gomspace_group,GomSpace Group,SE0008348304,missing sector; missing industry,missing_sector;missing_industry
1IGd_EQ,autostore,AutoStore,BMG0670A1099,missing sector; missing industry,missing_sector;missing_industry
1NCd_EQ,norwegian_cruise_line,Norwegian Cruise Line,BMG667211046,missing sector; missing industry,missing_sector;missing_industry
1Q5d_EQ,dropbox,Dropbox,US26210C1045,missing sector; missing industry,missing_sector;missing_industry
1XNAd_EQ,ynvisible_interactive,Ynvisible Interactive,CA9858441095,missing sector; missing industry,missing_sector;missing_industry
22Zd_EQ,zealand_pharma,Zealand Pharma,DK0060257814,missing sector; missing industry,missing_sector;missing_industry
26CAd_EQ,immunitybio,ImmunityBio,US45256X1037,missing sector; missing industry,missing_sector;missing_industry
2B4d_EQ,bonesupport,BoneSupport,SE0009858152,missing sector; missing industry,missing_sector;missing_industry
2CKd_EQ,ck_hutchison_holdings,CK Hutchison Holdings,KYG217651051,missing sector; missing industry,missing_sector;missing_industry
2DGd_EQ,sivers_semiconductors,Sivers Semiconductors,SE0003917798,missing sector; missing industry,missing_sector;missing_industry
2LBd_EQ,iovance_biotherapeutics,Iovance Biotherapeutics,US4622601007,missing sector; missing industry,missing_sector;missing_industry
2RRd_EQ,alibaba,Alibaba,KYG017191142,missing sector; missing industry,missing_sector;missing_industry
2VOd_EQ,valmet,Valmet,FI4000074984,missing sector; missing industry,missing_sector;missing_industry
2ZPd_EQ,avio,Avio,IT0005119810,missing sector; missing industry,missing_sector;missing_industry
32Ad_EQ,aegean_airlines,Aegean Airlines,GRS495003006,missing sector; missing industry,missing_sector;missing_industry
39EAd_EQ,ganfeng_lithium_group,Ganfeng Lithium Group,CNE1000031W9,missing sector; missing industry,missing_sector;missing_industry
3AG1d_EQ,softbank,SoftBank,JP3732000009,missing sector; missing industry,missing_sector;missing_industry
3BXd_EQ,box,Box,US10316T1043,missing sector; missing industry,missing_sector;missing_industry
3CPd_EQ,xiaomi,Xiaomi,KYG9830T1067,missing sector; missing industry,missing_sector;missing_industry
47Vd_EQ,sibanye_stillwater,Sibanye Stillwater,ZAE000259701,missing sector; missing industry,missing_sector;missing_industry
49Zd_EQ,bico_group,BICO Group,SE0013647385,missing sector; missing industry,missing_sector;missing_industry
4BYd_EQ,byd_electronic_international,BYD Electronic International,HK0285041858,missing sector; missing industry,missing_sector;missing_industry
4GBLl_EQ,4global,4Global,GB00BLH36N37,missing sector; missing industry,missing_sector;missing_industry
4GEd_EQ,grupo_mexico,Grupo Mexico,MXP370841019,missing sector; missing industry,missing_sector;missing_industry
58Hd_EQ,davide_campari_milano,Davide Campari-Milano,NL0015435975,missing sector; missing industry,missing_sector;missing_industry
6BFd_EQ,bakkafrost,Bakkafrost,FO0000000179,missing sector; missing industry,missing_sector;missing_industry
6PUd_EQ,everpure,Everpure,US74624M1027,missing sector; missing industry,missing_sector;missing_industry
6Q81d_EQ,enovix,Enovix,US2935941078,missing sector; missing industry,missing_sector;missing_industry
788d_EQ,coupang,Coupang,US22266T1097,missing sector; missing industry,missing_sector;missing_industry
7A2d_EQ,aia_group,AIA Group,HK0000069689,missing sector; missing industry,missing_sector;missing_industry
7CDd_EQ,cd_projekt,CD Projekt,PLOPTTC00011,missing sector; missing industry,missing_sector;missing_industry
7PVd_EQ,birkenstock,Birkenstock,JE00BS44BN30,missing sector; missing industry,missing_sector;missing_industry
7VSd_EQ,vitec_software_group,Vitec Software Group,SE0007871363,missing sector; missing industry,missing_sector;missing_industry
7XUd_EQ,kyndryl,Kyndryl,US50155Q1004,missing sector; missing industry,missing_sector;missing_industry
82Wd_EQ,hims_hers_health,Hims & Hers Health,US4330001060,missing sector; missing industry,missing_sector;missing_industry
8BZd_EQ,sony_financial_group,Sony Financial Group,JP3435350008,missing sector; missing industry,missing_sector;missing_industry
8FRd_EQ,victoria_s_secret_co,Victoria's Secret & Co,US9264001028,missing sector; missing industry,missing_sector;missing_industry
8JO1d_EQ,volvo_car,Volvo Car,SE0021628898,missing sector; missing industry,missing_sector;missing_industry
9A2d_EQ,ares_capital,Ares Capital,US04010L1035,missing sector; missing industry,missing_sector;missing_industry
9MDd_EQ,meituan,Meituan,KYG596691041,missing sector; missing industry,missing_sector;missing_industry
9SHd_EQ,shake_shack,Shake Shack,US8190471016,missing sector; missing industry,missing_sector;missing_industry
9UVd_EQ,uipath,UiPath,US90364P1057,missing sector; missing industry,missing_sector;missing_industry
A6Nd_EQ,asana,Asana,US04342Y1047,missing sector; missing industry,missing_sector;missing_industry
AAAl_EQ,all_active_asset_capital,All Active Asset Capital,VGG017801082,missing sector; missing industry,missing_sector;missing_industry
AACG_US_EQ,ata_creativity_global,ATA Creativity Global,US00211V1061,missing sector; missing industry,missing_sector;missing_industry
AACI_US_EQ,rezolve_ai,Rezolve AI,GB00BQH8G337,missing sector; missing industry,missing_sector;missing_industry
AACQ_US_EQ,origin_materials,Origin Materials,US68622D2053,missing sector; missing industry,missing_sector;missing_industry
AACT_US_EQ,kodiak_ai,Kodiak AI,US5000811043,missing sector; missing industry,missing_sector;missing_industry
AAMC_US_EQ,accelitron_advanced_motor_controls,Accelitron Advanced Motor Controls,VI02153X3060,missing sector; missing industry,missing_sector;missing_industry
AAME_US_EQ,atlantic_american,Atlantic American,US0482091008,missing sector; missing industry,missing_sector;missing_industry
AAN_US_EQ,prog,PROG,US74319R1014,missing sector; missing industry,missing_sector;missing_industry
AAXN_US_EQ,axon_enterprise,Axon Enterprise,US05464C1018,missing sector; missing industry,missing_sector;missing_industry
AB9d_EQ,abo_wind,ABO Wind,DE0005760029,missing sector; missing industry,missing_sector;missing_industry
ABB_US_EQ,abb,ABB,US0003752047,missing sector; missing industry,missing_sector;missing_industry
ABEPF_US_EQ,vision_lithium,Vision Lithium,CA92837C1095,missing sector; missing industry,missing_sector;missing_industry
ABEV_US_EQ,ambev,Ambev,US02319V1035,missing sector; missing industry,missing_sector;missing_industry
ABIO_US_EQ,oruka_therapeutics,Oruka Therapeutics,US6876041087,missing sector; missing industry,missing_sector;missing_industry
ABL_US_EQ,abacus_global_management,Abacus Global Management,US00258Y1047,missing sector; missing industry,missing_sector;missing_industry
ABML_US_EQ,american_battery_technology,American Battery Technology,US02451V3096,missing sector; missing industry,missing_sector;missing_industry
ABO_BB_EQ,abo_group_environment,ABO Group Environment,BE0974278104,missing sector; missing industry,missing_sector;missing_industry
ABQQ_US_EQ,ai_era,AI Era,US00083U5092,missing sector; missing industry,missing_sector;missing_industry
ABUS_US_EQ,arbutus_biopharma,Arbutus Biopharma,CA03879J1003,missing sector; missing industry,missing_sector;missing_industry
ACAB_US_EQ,abpro_holdings,Abpro Holdings,US0008472021,missing sector; missing industry,missing_sector;missing_industry
ACAC_US_EQ,playstudios,Playstudios,US72815G1085,missing sector; missing industry,missing_sector;missing_industry
ACAN_US_EQ,americann,Americann,US0305881072,missing sector; missing industry,missing_sector;missing_industry
ACCB_BB_EQ,accentis,Accentis,BE0003696102,missing sector; missing industry,missing_sector;missing_industry
ACCYY_US_EQ,accor,Accor,US00435F3091,missing sector; missing industry,missing_sector;missing_industry
ACET_US_EQ,adicet_bio,Adicet Bio,US0070022076,missing sector; missing industry,missing_sector;missing_industry
ACEV_US_EQ,tempo_automation,Tempo Automation,US88024M1080,missing sector; missing industry,missing_sector;missing_industry
ACFN_US_EQ,acorn_energy,Acorn Energy,US0048482063,missing sector; missing industry,missing_sector;missing_industry
ACHC_US_EQ,acadia_healthcare_co,Acadia Healthcare Co,US00404A1097,missing sector; missing industry,missing_sector;missing_industry
ACHL_US_EQ,achilles_therapeutics,Achilles Therapeutics,US00449L1026,missing sector; missing industry,missing_sector;missing_industry
ACIC_US_EQ,archer_aviation,Archer Aviation,US03945R1023,missing sector; missing industry,missing_sector;missing_industry
ACLLY_US_EQ,accelleron_industries,Accelleron Industries,US00449R1095,missing sector; missing industry,missing_sector;missing_industry
ACLX_US_EQ,arcellx,Arcellx,US03940C1009,missing sector; missing industry,missing_sector;missing_industry
ACND_US_EQ,marketwise,MarketWise,US57064P2065,missing sector; missing industry,missing_sector;missing_industry
ACOX_CA_EQ,atco_class_i,Atco (Class I),CA0467894006,missing sector; missing industry,missing_sector;missing_industry
ACRX_US_EQ,talphera,Talphera,US00444T2096,missing sector; missing industry,missing_sector;missing_industry
ACR_US_EQ,acres_commercial_realty,ACRES Commercial Realty,US00489Q1022,missing sector; missing industry,missing_sector;missing_industry
ACSAY_US_EQ,acs_actividades_de_construccion_y_servicios,ACS Actividades de Construccion y Servicios,US00089H1068,missing sector; missing industry,missing_sector;missing_industry
ACST_US_EQ,grace_therapeutics,Grace Therapeutics,US00439U1043,missing sector; missing industry,missing_sector;missing_industry
ACTD_US_EQ,opal_fuels,OPAL Fuels,US68347P1030,missing sector; missing industry,missing_sector;missing_industry
